system,eos,step,pvi,component,mass_rate_kg_s,total_mass_fraction,hydrocarbon_normalized_mass_fraction,reservoir_watercut
lmh,PR,14,0.035,Middle_nC10,4.583609993432645e-07,0.10210863062257872,0.11885052879978404,0.00039646025181242547
lmh,PR,14,0.035,Heavy_squalane,3.323492442722077e-06,0.7403711543893752,0.8617636204772124,0.00039646025181242547
lmh,PR,15,0.0375,H2O,6.323186732156851e-07,0.14085821047620012,0.0,0.0003973151245128968
lmh,PR,15,0.0375,Light_nC4,7.476577178027248e-08,0.016655166554363155,0.019385818217031073,0.0003973151245128968
lmh,PR,15,0.0375,Middle_nC10,4.583738145950233e-07,0.10210945522872615,0.11885052790334269,0.0003973151245128968
lmh,PR,15,0.0375,Heavy_squalane,3.323585517679807e-06,0.7403771677407105,0.8617636538796262,0.0003973151245128968
lmh,PR,16,0.04,H2O,6.322998636463637e-07,0.14085118770209237,0.0,0.00039818099990542754
lmh,PR,16,0.04,Light_nC4,7.476775979571352e-08,0.016655274458418846,0.01938578534942288,0.00039818099990542754
lmh,PR,16,0.04,Middle_nC10,4.583867763956432e-07,0.10211028911176498,0.11885052699852713,0.00039818099990542754
lmh,PR,16,0.04,Heavy_squalane,3.3236796569067e-06,0.7403832487277238,0.86176368765205,0.00039818099990542754
lmh,PR,17,0.0425,H2O,6.322808660292476e-07,0.14084409435693637,0.0,0.0003990569560984577
lmh,PR,17,0.0425,Light_nC4,7.476976808854961e-08,0.016655383449833513,0.019385752155619815,0.0003990569560984577
lmh,PR,17,0.0425,Middle_nC10,4.583998702419971e-07,0.10211113137588561,0.11885052608636515,0.0003990569560984577
lmh,PR,17,0.0425,Heavy_squalane,3.323774755074086e-06,0.7403893908173446,0.8617637217580151,0.0003990569560984577
lmh,PR,18,0.045,H2O,6.322617012771436e-07,0.14083693812705647,0.0,0.00039994205251209496
lmh,PR,18,0.045,Light_nC4,7.477179452659982e-08,0.016655493410592897,0.019385718671708883,0.00039994205251209496
lmh,PR,18,0.045,Middle_nC10,4.584130822140397e-07,0.10211198110845604,0.11885052516789504,0.00039994205251209496
lmh,PR,18,0.045,Heavy_squalane,3.323870711078255e-06,0.7403955873538947,0.8617637561603961,0.00039994205251209496
lmh,PR,19,0.0475,H2O,6.322423890188416e-07,0.14082972660555154,0.0,0.00040083535827171085
lmh,PR,19,0.0475,Light_nC4,7.47738368809957e-08,0.016655604224102272,0.019385684933323592,0.00040083535827171085
lmh,PR,19,0.0475,Middle_nC10,4.584263978094204e-07,0.1021128374079083,0.11885052424413652,0.00040083535827171085
lmh,PR,19,0.0475,Heavy_squalane,3.323967419595609e-06,0.7404018317624379,0.8617637908225398,0.00040083535827171085
lmh,PR,20,0.05,H2O,6.322229494876985e-07,0.1408224671010954,0.0,0.00040173597552342464
lmh,PR,20,0.05,Light_nC4,7.477589316423014e-08,0.016655715778124743,0.019385650974749757,0.00040173597552342464
lmh,PR,20,0.05,Middle_nC10,4.584398040370497e-07,0.10211369940644048,0.11885052331606502,0.00040173597552342464
