system,eos,pvi,mu_o_min_mPa_s,mu_o_avg_mPa_s,mu_o_max_mPa_s,mu_w_min_mPa_s,mu_w_avg_mPa_s,mu_w_max_mPa_s
binary,PR,0.635,0.9361318590171419,0.936164218185309,0.9361903159692319,0.06617226234122216,0.0661728963733735,0.06617318812105934
binary,PR,0.6375,0.9361321163499521,0.9361643997741838,0.9361904450975576,0.06617226641672308,0.06617289886875294,0.06617319016598995
binary,PR,0.64,0.9361323728638682,0.9361645809876411,0.9361905741312198,0.06617227047925402,0.06617290135885391,0.06617319220942151
binary,PR,0.6425,0.9361326285876178,0.9361647618293711,0.936190703070126,0.06617227452926965,0.06617290384365242,0.06617319425135228
binary,PR,0.645,0.9361328835495588,0.9361649423024233,0.9361908319141902,0.06617227856721872,0.0661729063231372,0.06617319629178071
binary,PR,0.6475,0.9361331377772072,0.9361651224092099,0.9361909606632597,0.06617228259353772,0.06617290879731029,0.06617319833070426
binary,PR,0.65,0.9361333912969217,0.936165302151458,0.9361910893171402,0.06617228660864365,0.06617291126618682,0.06617320036812042
binary,PR,0.6525,0.9361336441335366,0.9361654815302768,0.9361912178756311,0.06617229061292895,0.06617291372979439,0.06617320240402547
binary,PR,0.655,0.9361338963101598,0.9361656605461377,0.9361913463384076,0.06617229460676156,0.06617291618817339,0.06617320443841435
binary,PR,0.6575,0.936134147848016,0.9361658391989465,0.9361914747051734,0.06617229859047558,0.06617291864137584,0.06617320647128253
binary,PR,0.66,0.9361343987664357,0.9361660174880418,0.9361916029755475,0.06617230256437945,0.06617292108946461,0.06617320850262409
binary,PR,0.6625,0.9361346490828424,0.9361661954122656,0.9361917311490808,0.06617230652874649,0.06617292353251225,0.06617321053243155
binary,PR,0.665,0.9361348988126589,0.9361663729699962,0.9361918592253048,0.06617231048382399,0.06617292597060109,0.06617321256069776
binary,PR,0.6675,0.9361351479694275,0.9361665501592157,0.936191987203669,0.06617231442982319,0.06617292840382022,0.06617321458741407
binary,PR,0.67,0.9361353965646564,0.9361667269775223,0.9361921150835958,0.06617231836692829,0.06617293083226697,0.06617321661257101
binary,PR,0.6725,0.9361356446077836,0.9361669034222156,0.9361922428644488,0.06617232229528965,0.06617293325604423,0.06617321863615887
binary,PR,0.675,0.9361358921060688,0.9361670794903313,0.9361923705455563,0.06617232621501984,0.06617293567525995,0.06617322065816686
binary,PR,0.6775,0.9361361390644619,0.9361672551786923,0.9361924981261975,0.0661723301261984,0.06617293809002593,0.06617322267858333
binary,PR,0.68,0.936136385485383,0.9361674304839697,0.9361926256056541,0.06617233402886406,0.06617294050045715,0.06617322469739725
binary,PR,0.6825,0.9361366313686831,0.9361676054027505,0.9361927529831331,0.06617233792301407,0.06617294290667028,0.06617322671459591
binary,PR,0.685,0.9361368767115414,0.9361677799315736,0.9361928802578727,0.0661723418086035,0.06617294530878239,0.06617322873016755
binary,PR,0.6875,0.9361371215083767,0.9361679540670105,0.9361930074290981,0.06617234568554467,0.06617294770691041,0.06617323074409914
binary,PR,0.69,0.9361373657509826,0.936168127805721,0.9361931344960323,0.06617234955370721,0.06617295010116951,0.06617323275637917
