system,eos,step,pvi,component,cumulative_produced_kg,recovery_fraction_of_initial,relative_balance_error
binary,PR,32,0.08,Heavy_squalane,0.1212291398985232,0.08105268681966318,-3.047970226852976e-12
binary,PR,33,0.0825,H2O,0.01433272619667743,0.0749655797287087,4.318506541256539e-08
binary,PR,33,0.0825,Heavy_squalane,0.12501755515254,0.08358558637981588,-2.59859095274631e-12
binary,PR,34,0.085,H2O,0.01476705070701094,0.07723726121210206,4.319610530378881e-08
binary,PR,34,0.085,Heavy_squalane,0.1288059706992696,0.08611848613567365,-2.664060480292078e-12
binary,PR,35,0.0875,H2O,0.01520137518814255,0.07950894254275843,4.320283930603352e-08
binary,PR,35,0.0875,Heavy_squalane,0.1325943865410666,0.08865138608881076,-2.566821159334078e-12
binary,PR,36,0.09,H2O,0.01563569964000784,0.0817806237203409,4.320825564008146e-08
binary,PR,36,0.09,Heavy_squalane,0.1363828026792779,0.09118428624012777,-2.313108182971906e-12
binary,PR,37,0.0925,H2O,0.01607002406242304,0.08405230474388824,4.3215403255914e-08
binary,PR,37,0.0925,Heavy_squalane,0.1401712191142418,0.0937171865898508,-2.575728578047788e-12
binary,PR,38,0.095,H2O,0.01650434845544829,0.08632398561371502,4.32137532424548e-08
binary,PR,38,0.095,Heavy_squalane,0.1439596358484516,0.0962500871396469,-2.59621564108932e-12
binary,PR,39,0.0975,H2O,0.01693867281902494,0.0885956663295145,4.321766539083782e-08
binary,PR,39,0.0975,Heavy_squalane,0.1477480528833875,0.09878298789050571,-2.280447647688304e-12
binary,PR,40,0.1,H2O,0.01737299715297547,0.09086734689035815,4.322790608801697e-08
binary,PR,40,0.1,Heavy_squalane,0.1515364702195122,0.10131588884273657,-2.228042334255977e-12
binary,PR,41,0.1025,H2O,0.01780732145724621,0.09313902729596528,4.322886387742031e-08
binary,PR,41,0.1025,Heavy_squalane,0.1553248878583842,0.1038487899973815,-2.293660318780307e-12
binary,PR,42,0.105,H2O,0.01824164573178604,0.0954107075460685,4.322931362876758e-08
binary,PR,42,0.105,Heavy_squalane,0.1591133058015975,0.10638169135550621,-2.310435957357793e-12
binary,PR,43,0.1075,H2O,0.01867596997642586,0.09768238763978336,4.322455149363691e-08
binary,PR,43,0.1075,Heavy_squalane,0.1629017240497266,0.10891459291749482,-2.796781019126356e-12
binary,PR,44,0.11,H2O,0.01911029419124156,0.0999540675775068,4.322476176987777e-08
binary,PR,44,0.11,Heavy_squalane,0.1666901426054911,0.11144749468516561,-2.828996183474273e-12
binary,PR,45,0.1125,H2O,0.01954461837607016,0.10222574735838635,4.322099134146384e-08
binary,PR,45,0.1125,Heavy_squalane,0.1704785614695328,0.11398039665894773,-2.872197164235766e-12
binary,PR,46,0.115,H2O,0.01997894253087285,0.10449742698221902,4.322122654221161e-08
binary,PR,46,0.115,Heavy_squalane,0.1742669806435802,0.1165132988399968,-2.667474990799e-12
binary,PR,47,0.1175,H2O,0.02041326665549312,0.10676910644818625,4.321487651059996e-08
binary,PR,47,0.1175,Heavy_squalane,0.1780554001283381,0.11904620122878402,-2.633329885729779e-12
binary,PR,48,0.12,H2O,0.02084759074989884,0.10904078575611993,4.321467156342962e-08
binary,PR,48,0.12,Heavy_squalane,0.1818438199255965,0.12157910382650622,-2.461862075490862e-12
binary,PR,49,0.1225,H2O,0.02128191481394033,0.11131246490523722,4.3212103006951e-08
binary,PR,49,0.1225,Heavy_squalane,0.1856322400361198,0.12411200663367444,-2.530152285629305e-12
binary,PR,50,0.125,H2O,0.02171623884759238,0.11358414389540622,4.321550356456427e-08
binary,PR,50,0.125,Heavy_squalane,0.1894206604617569,0.12664490965152486,-2.491405014224667e-12
binary,PR,51,0.1275,H2O,0.02215056285071228,0.11585582272588053,4.321353475056355e-08
binary,PR,51,0.1275,Heavy_squalane,0.1932090812033292,0.12917781288060662,-2.676827780448395e-12
binary,PR,52,0.13,H2O,0.02258488682328198,0.11812750139656575,4.321537788731789e-08
binary,PR,52,0.13,Heavy_squalane,0.1969975022627418,0.1317107163221935,-2.690337365497522e-12
binary,PR,53,0.1325,H2O,0.02301921076516581,0.12039917990675227,4.320513319333585e-08
binary,PR,53,0.1325,Heavy_squalane,0.2007859236408705,0.13424361997687104,-2.831519952109824e-12
binary,PR,54,0.135,H2O,0.023453534676353,0.12267085825638373,4.32128041683022e-08
binary,PR,54,0.135,Heavy_squalane,0.2045743453396749,0.13677652384594938,-2.666881162884753e-12
binary,PR,55,0.1375,H2O,0.02388785855671521,0.1249425364447889,4.321335339563248e-08
binary,PR,55,0.1375,Heavy_squalane,0.2083627673600843,0.13930942793004986,-2.440335813599397e-12
binary,PR,56,0.14,H2O,0.02432218240612791,0.1272142144713164,4.321677754548503e-08
binary,PR,56,0.14,Heavy_squalane,0.212151189703055,0.14184233222981185,-2.396095633987971e-12
binary,PR,57,0.1425,H2O,0.02475650622447003,0.12948589233533303,4.321750246560896e-08
binary,PR,57,0.1425,Heavy_squalane,0.2159396123695676,0.144375236745891,-2.739476625401488e-12
binary,PR,58,0.145,H2O,0.02519083001174546,0.13175757003685912,4.321444108112971e-08
binary,PR,58,0.145,Heavy_squalane,0.2197280353616856,0.1469081414796669,-2.961122894394304e-12
binary,PR,59,0.1475,H2O,0.02562515376784043,0.13402924757529963,4.321249413852257e-08
binary,PR,59,0.1475,Heavy_squalane,0.2235164586804393,0.14944104643182843,-3.235322933798008e-12
binary,PR,60,0.15,H2O,0.02605947749276623,0.13630092495071355,4.321190089084936e-08
binary,PR,60,0.15,Heavy_squalane,0.2273048823279424,0.15197395160378882,-3.01352820782663e-12
binary,PR,61,0.1525,H2O,0.02649380118629543,0.13857260216191142,4.320312413375049e-08
binary,PR,61,0.1525,Heavy_squalane,0.2310933063042192,0.15450685699556424,-3.134817559311648e-12
binary,PR,62,0.155,H2O,0.02692812484832588,0.14084427920835887,4.320074997732348e-08
binary,PR,62,0.155,Heavy_squalane,0.2348817306103779,0.15703976260789565,-3.720480339738075e-12
binary,PR,63,0.1575,H2O,0.02736244847887979,0.14311595609017214,4.320941465740802e-08
binary,PR,63,0.1575,Heavy_squalane,0.2386701552486044,0.15957266844224455,-4.156646942752738e-12
binary,PR,64,0.16,H2O,0.0277967720778624,0.14538763280685554,4.3207788569255e-08
binary,PR,64,0.16,Heavy_squalane,0.2424585802200553,0.1621055744993842,-4.528383217071566e-12
binary,PR,65,0.1625,H2O,0.02823109564518241,0.14765930935793156,4.321000651730245e-08
binary,PR,65,0.1625,Heavy_squalane,0.2462470055259096,0.16463848078010293,-4.892993556419425e-12
binary,PR,66,0.165,H2O,0.02866541918075222,0.14993098574294206,4.319988233802974e-08
binary,PR,66,0.165,Heavy_squalane,0.2500354311673704,0.16717138728520506,-5.291897457815069e-12
binary,PR,67,0.1675,H2O,0.02909974268460914,0.15220266196208215,4.320324753503968e-08
binary,PR,67,0.1675,Heavy_squalane,0.2538238571467215,0.1697042940162175,-5.047982642037979e-12
binary,PR,68,0.17,H2O,0.02953406615655182,0.15447433801429866,4.320968555182603e-08
binary,PR,68,0.17,Heavy_squalane,0.2576122834641568,0.17223720097326994,-4.867013585171105e-12
binary,PR,69,0.1725,H2O,0.02996838959650377,0.15674601389919157,4.321003310714389e-08
binary,PR,69,0.1725,Heavy_squalane,0.2614007101209505,0.17477010815721428,-4.739043669650806e-12
binary,PR,70,0.175,H2O,0.03040271300439233,0.15901768961638083,4.321205487878288e-08
binary,PR,70,0.175,Heavy_squalane,0.2651891371184018,0.17730301556891917,-4.632896929979095e-12
binary,PR,71,0.1775,H2O,0.03083703638002767,0.16128936516487352,4.32084897306062e-08
binary,PR,71,0.1775,Heavy_squalane,0.2689775644567786,0.1798359232085637,-5.201338700892351e-12
binary,PR,72,0.18,H2O,0.03127135972358609,0.1635610405455918,4.321095825599031e-08
binary,PR,72,0.18,Heavy_squalane,0.2727659921395353,0.18236883107845744,-4.97033964225014e-12
binary,PR,73,0.1825,H2O,0.03170568303476413,0.16583271575694844,4.321002139429098e-08
binary,PR,73,0.1825,Heavy_squalane,0.2765544201659313,0.18490173917810526,-5.260127664402836e-12
binary,PR,74,0.185,H2O,0.03214000631362463,0.16810439079927214,4.321905644477653e-08
binary,PR,74,0.185,Heavy_squalane,0.2803428485384138,0.18743464750914335,-5.26205760512414e-12
binary,PR,75,0.1875,H2O,0.03257432955999204,0.17037606567164465,4.321855834321653e-08
binary,PR,75,0.1875,Heavy_squalane,0.2841312772573418,0.1899675560718117,-5.561346873904794e-12
binary,PR,76,0.19,H2O,0.03300865277393623,0.17264774037443148,4.32140957462579e-08
binary,PR,76,0.19,Heavy_squalane,0.2879197063252069,0.1925004648677762,-5.314611375535028e-12
binary,PR,77,0.1925,H2O,0.03344297595528944,0.17491941490675514,4.321115804062359e-08
binary,PR,77,0.1925,Heavy_squalane,0.2917081357424185,0.19503337389731054,-5.064758280615465e-12
binary,PR,78,0.195,H2O,0.03387729910388643,0.1771910892677514,4.320728203000002e-08
binary,PR,78,0.195,Heavy_squalane,0.2954965655094009,0.1975662831606984,-5.345341970097328e-12
binary,PR,79,0.1975,H2O,0.03431162221980785,0.1794627634578421,4.321575430843438e-08
binary,PR,79,0.1975,Heavy_squalane,0.299284995628715,0.20009919265965204,-5.260721492317084e-12
binary,PR,80,0.2,H2O,0.03474594530289622,0.18173443747620346,4.320851360040123e-08
binary,PR,80,0.2,Heavy_squalane,0.3030734261008354,0.20263210239448864,-5.30496167192851e-12
binary,PR,81,0.2025,H2O,0.03518026835311831,0.1840061113226618,4.320545787805941e-08
binary,PR,81,0.2025,Heavy_squalane,0.3068618569273133,0.20516501236624549,-5.24988413288207e-12
binary,PR,82,0.205,H2O,0.03561459137032295,0.1862777849964263,4.319997626289762e-08
binary,PR,82,0.205,Heavy_squalane,0.3106502881086632,0.20769792257526642,-5.55778390641931e-12
binary,PR,83,0.2075,H2O,0.03604891435448365,0.1885494584973586,4.320373725441584e-08
binary,PR,83,0.2075,Heavy_squalane,0.3144387196464795,0.21023083302261755,-5.968861280057023e-12
binary,PR,84,0.21,H2O,0.03648323730557827,0.19082113182534274,4.321331753542879e-08
binary,PR,84,0.21,Heavy_squalane,0.3182271515423849,0.21276374370938375,-6.20119645150629e-12
binary,PR,85,0.2125,H2O,0.03691756022346574,0.19309280497964093,4.321220553604732e-08
binary,PR,85,0.2125,Heavy_squalane,0.3220155837969591,0.2152966546359526,-6.666460622319072e-12
binary,PR,86,0.215,H2O,0.0373518831082511,0.19536447796080256,4.322351998542473e-08
binary,PR,86,0.215,Heavy_squalane,0.3258040164129199,0.2178295658041412,-6.346832747475448e-12
binary,PR,87,0.2175,H2O,0.03778620595967975,0.19763615076749597,4.322850000182399e-08
binary,PR,87,0.2175,Heavy_squalane,0.3295924493898399,0.22036247721366378,-6.320704319248566e-12
binary,PR,88,0.22,H2O,0.03822052877774299,0.1999078233996757,4.322200930495512e-08
binary,PR,88,0.22,Heavy_squalane,0.333380882729428,0.22289538886566296,-6.240686007803738e-12
binary,PR,89,0.2225,H2O,0.03865485156243433,0.20217949585730774,4.323379698689678e-08
binary,PR,89,0.2225,Heavy_squalane,0.337169316433404,0.22542830076128847,-5.747215011064208e-12
binary,PR,90,0.225,H2O,0.03908917431350983,0.2044511681391162,4.324557267842977e-08
binary,PR,90,0.225,Heavy_squalane,0.3409577505014013,0.22796121290029536,-5.874145727734574e-12
binary,PR,91,0.2275,H2O,0.0395234970309728,0.20672284024511844,4.324593427806889e-08
binary,PR,91,0.2275,Heavy_squalane,0.3447461849351826,0.230494125283862,-6.226434137861802e-12
binary,PR,92,0.23,H2O,0.03995781971483235,0.2089945121753621,4.323780811166245e-08
binary,PR,92,0.23,Heavy_squalane,0.3485346197365011,0.23302703791316062,-6.407403194728675e-12
binary,PR,93,0.2325,H2O,0.04039214236498918,0.21126618392932775,4.32419900997516e-08
binary,PR,93,0.2325,Heavy_squalane,0.3523230549060054,0.23555995078862493,-6.752565669884935e-12
binary,PR,94,0.235,H2O,0.04082646498149561,0.2135378555072891,4.324030333791029e-08
binary,PR,94,0.235,Heavy_squalane,0.3561114904452335,0.23809286391128312,-6.958475499150196e-12
binary,PR,95,0.2375,H2O,0.04126078756448254,0.2158095269099308,4.324280655776391e-08
binary,PR,95,0.2375,Heavy_squalane,0.3598999263552092,0.24062577728181975,-6.976141879599054e-12
binary,PR,96,0.24,H2O,0.04169511011441238,0.21808119813967142,4.323801627847956e-08
binary,PR,96,0.24,Heavy_squalane,0.3636883626365097,0.24315869090062076,-6.800665730938968e-12
binary,PR,97,0.2425,H2O,0.0421294326326995,0.2203528692039086,4.323962587982066e-08
binary,PR,97,0.2425,Heavy_squalane,0.3674767992886849,0.2456916047673851,-6.391963668958245e-12
binary,PR,98,0.245,H2O,0.04256375512336295,0.22262454012366353,4.323042790410625e-08
binary,PR,98,0.245,Heavy_squalane,0.3712652363079486,0.24822451887958152,-5.946444276294187e-12
binary,PR,99,0.2475,H2O,0.04299807759764559,0.22489621095774068,4.323171454156949e-08
binary,PR,99,0.2475,Heavy_squalane,0.375053673680785,0.25075743322817334,-6.596092014480764e-12
binary,PR,100,0.25,H2O,0.04343240008786075,0.2271678818751509,4.322806967937964e-08
binary,PR,100,0.25,Heavy_squalane,0.3788421113745168,0.2532903477913129,-6.73757151505019e-12
binary,PR,101,0.2525,H2O,0.0438667226834521,0.22943955334371846,4.3231052182513e-08
binary,PR,101,0.2525,Heavy_squalane,0.3826305492888555,0.25582326250194815,-6.643449790641988e-12
binary,PR,102,0.255,H2O,0.04430104563392406,0.2317112266684459,4.32272742045825e-08
binary,PR,102,0.255,Heavy_squalane,0.3864189871426589,0.2583561771721101,-6.749893444270822e-12
binary,PR,103,0.2575,H2O,0.04473536963461222,0.2339829054862013,4.323846303222467e-08
binary,PR,103,0.2575,Heavy_squalane,0.3902074241521249,0.26088909127775584,-7.336001595632935e-12
binary,PR,104,0.26,H2O,0.04516969662214695,0.23625459992629408,4.323640467873702e-08
binary,PR,104,0.26,Heavy_squalane,0.3939958581354606,0.26342200336015875,-7.321304354755313e-12
binary,PR,105,0.2625,H2O,0.04560403198379614,0.23852633816617322,4.322705260406678e-08
binary,PR,105,0.2625,Heavy_squalane,0.3977842830155827,0.26595490935623683,-7.251084203895567e-12
binary,PR,106,0.265,H2O,0.04603839069611453,0.24079819853888532,4.321911550864144e-08
binary,PR,106,0.265,Heavy_squalane,0.4015726818989902,0.26848779797115085,-7.15651710855168e-12
binary,PR,107,0.2675,H2O,0.04647281433989876,0.24307039852772572,4.321960700437444e-08
binary,PR,107,0.2675,Heavy_squalane,0.4053610078813469,0.27102063784509345,-7.304677173156388e-12
binary,PR,108,0.27,H2O,0.04690741769503826,0.24534353847493456,4.323399072081457e-08
binary,PR,108,0.27,Heavy_squalane,0.4091491314939296,0.2735533424164684,-7.796960514067424e-12
binary,PR,109,0.2725,H2O,0.04734251263306378,0.2476192495865911,4.333120295907378e-08
binary,PR,109,0.2725,Heavy_squalane,0.4129367010000373,0.27608567651735555,-1.653795895480954e-11
binary,PR,110,0.275,H2O,0.04777891160347335,0.24990178128089982,4.402083941812407e-08
binary,PR,110,0.275,Heavy_squalane,0.4167228004120971,0.27861702772689695,-7.378786896854455e-11
binary,PR,111,0.2775,H2O,0.04821854651171172,0.25220123815412937,4.692852184629004e-08
binary,PR,111,0.2775,Heavy_squalane,0.4205052521227584,0.28114594011686656,-2.829080803952054e-10
binary,PR,112,0.28,H2O,0.0486653388791345,0.25453813124638525,5.207929054673599e-08
binary,PR,112,0.28,Heavy_squalane,0.4242796327053559,0.28366945622492085,-4.831906478880803e-10
binary,PR,113,0.2825,H2O,0.04912581087596993,0.25694657397513887,5.489464260932664e-08
binary,PR,113,0.2825,Heavy_squalane,0.4280385802196008,0.28618265392556175,-2.567605012180884e-10
binary,PR,114,0.285,H2O,0.04960896966338837,0.25947367720050013,5.517527523757337e-08
binary,PR,114,0.285,Heavy_squalane,0.4317719332999278,0.2886787394233246,3.688116718411596e-11
binary,PR,115,0.2875,H2O,0.05012564774234159,0.26217609900011724,5.517935119936368e-08
binary,PR,115,0.2875,Heavy_squalane,0.4354674742772837,0.29114954409716454,3.801730844104966e-11
binary,PR,116,0.29,H2O,0.05068737362615942,0.26511413785966,5.55814601010951e-08
binary,PR,116,0.29,Heavy_squalane,0.4391121991033308,0.2935863735600868,-2.463613867837892e-10
binary,PR,117,0.2925,H2O,0.05130472560785568,0.2683431222531005,5.628747856700755e-08
binary,PR,117,0.2925,Heavy_squalane,0.442694174997394,0.2959812496647932,-6.579533123091977e-10
binary,PR,118,0.295,H2O,0.05198596091109735,0.271906240583723,5.69505893555089e-08
binary,PR,118,0.295,Heavy_squalane,0.4462040872213997,0.29832794466316553,-1.005095906645515e-09
binary,PR,119,0.2975,H2O,0.05273653285373221,0.2758320157667282,5.736759789432e-08
binary,PR,119,0.2975,Heavy_squalane,0.4496357840236351,0.30062234555064565,-1.213483037512038e-09
binary,PR,120,0.3,H2O,0.05355929094379332,0.28013535180702837,5.755371534910125e-08
binary,PR,120,0.3,Heavy_squalane,0.4529860509820305,0.30286230319423196,-1.301469480367214e-09
binary,PR,121,0.3025,H2O,0.05445498086001609,0.2848201488864817,5.758342769279778e-08
binary,PR,121,0.3025,Heavy_squalane,0.4562540469576006,0.3050472552161429,-1.313932146803523e-09
binary,PR,122,0.305,H2O,0.05542279404924536,0.2898821779662308,5.753187992674214e-08
binary,PR,122,0.305,Heavy_squalane,0.4594406840758412,0.3071778114550874,-1.290042449813353e-09
binary,PR,123,0.3075,H2O,0.05646085388626892,0.2953116235865343,5.744082542946671e-08
binary,PR,123,0.3075,Heavy_squalane,0.4625480792995684,0.309255387292914,-1.251956108877272e-09
binary,PR,124,0.31,H2O,0.05756660003984018,0.3010950942464619,5.733859254064555e-08
binary,PR,124,0.31,Heavy_squalane,0.4655791208462465,0.31128191376522857,-1.213775349302826e-09
binary,PR,125,0.3125,H2O,0.05873707603524462,0.3072171264648944,5.725227780750686e-08
binary,PR,125,0.3125,Heavy_squalane,0.46853714379805,0.31325962067726804,-1.179145086827664e-09
binary,PR,126,0.315,H2O,0.05996914335585216,0.3136613046126325,5.718023776690728e-08
binary,PR,126,0.315,Heavy_squalane,0.471425688582781,0.31519087512646526,-1.151349338274554e-09
binary,PR,127,0.3175,H2O,0.06125963919136478,0.32041108599540347,5.711236805705511e-08
binary,PR,127,0.3175,Heavy_squalane,0.4742483230356285,0.3170780625345797,-1.128858848307329e-09
binary,PR,128,0.32,H2O,0.0626054761401823,0.32745032233495,5.706154826423671e-08
binary,PR,128,0.32,Heavy_squalane,0.4770085299212607,0.31892351144600395,-1.111378187538652e-09
binary,PR,129,0.3225,H2O,0.06400368498198251,0.3347634834858033,5.702274852303901e-08
binary,PR,129,0.3225,Heavy_squalane,0.4797096586881943,0.32072946127117896,-1.098285915056263e-09
binary,PR,130,0.325,H2O,0.0654514208718467,0.3423356898329033,5.700370531158683e-08
binary,PR,130,0.325,Heavy_squalane,0.4823549184835542,0.3224980576163268,-1.088268483513846e-09
binary,PR,131,0.3275,H2O,0.06694596172797036,0.3501527038587153,5.697937899284966e-08
binary,PR,131,0.3275,Heavy_squalane,0.4849473799668335,0.3242313534961142,-1.081329010507952e-09
binary,PR,132,0.33,H2O,0.0684847179019712,0.35820098072259926,5.696659588494413e-08
binary,PR,132,0.33,Heavy_squalane,0.4874899644081696,0.3259313020448597,-1.076219121305853e-09
binary,PR,133,0.3325,H2O,0.07006525537468385,0.36646778958359033,5.696305527269629e-08
binary,PR,133,0.3325,Heavy_squalane,0.4899854175170397,0.32759973901864103,-1.072594098803331e-09
binary,PR,134,0.335,H2O,0.07168532305889261,0.3749413564040191,5.696154004031229e-08
binary,PR,134,0.335,Heavy_squalane,0.4924362786467065,0.3292383622056706,-1.069702156860946e-09
binary,PR,135,0.3375,H2O,0.07334287202025971,0.3836109644822373,5.696112215236582e-08
binary,PR,135,0.3375,Heavy_squalane,0.4948448591089336,0.33084871692771406,-1.067477974408133e-09
binary,PR,136,0.34,H2O,0.07503605921646252,0.3924669740097195,5.695081151113612e-08
binary,PR,136,0.34,Heavy_squalane,0.497213237958005,0.3324321932213245,-1.065788237078142e-09
binary,PR,137,0.3425,H2O,0.07676323440475144,0.4015007535926391,5.693557558750229e-08
binary,PR,137,0.3425,Heavy_squalane,0.4995432767596303,0.3339900357121966,-1.064444330279711e-09
binary,PR,138,0.345,H2O,0.07852291360949133,0.41070454147707236,5.693273896767437e-08
binary,PR,138,0.345,Heavy_squalane,0.5018366495204822,0.3355233636257797,-1.063396966295957e-09
binary,PR,139,0.3475,H2O,0.08031374549282418,0.4200712696548438,5.692453919348139e-08
binary,PR,139,0.3475,Heavy_squalane,0.5040948806241379,0.337033196150899,-1.062642953301842e-09
binary,PR,140,0.35,H2O,0.08213447665277797,0.4295943823595086,5.692700166815001e-08
binary,PR,140,0.35,Heavy_squalane,0.5063193839771393,0.33852047861245105,-1.062124021933279e-09
binary,PR,141,0.3525,H2O,0.08398392004923858,0.43926767092224145,5.692708049398476e-08
binary,PR,141,0.3525,Heavy_squalane,0.5085114986261954,0.3399861062847373,-1.061718437467848e-09
binary,PR,142,0.355,H2O,0.08586092930903019,0.449085139377688,5.692146820557298e-08
binary,PR,142,0.355,Heavy_squalane,0.5106725177432618,0.34143094377062155,-1.061351377588354e-09
binary,PR,143,0.3575,H2O,0.0877643805485906,0.4590409093896802,5.691140092523028e-08
