scope,target_pvi,mode,lower_actual_pvi,upper_actual_pvi,fraction,method,time_s,RF_H,cum_Heavy_kg,cum_Heavy_Oil_kg,cum_Heavy_Gas_kg,cum_Heavy_Water_kg,deltaP_MPa,mu_Heavy_carrier_Pa_s,water_carried_fraction
CONDITIONAL_MECHANISM_EXPERIMENT_NOT_REAL_HEAVY_VALIDATION,1.0,A,0.9999999570376357,1.019999956855756,2.1481182361732397e-06,BRACKETED_LINEAR_NO_EXTRAPOLATION,3000.000128887094,0.3974231372085975,0.022897044848453136,0.022897044848453136,0.0,0.0,0.00357072370118497,0.002,0.0
CONDITIONAL_MECHANISM_EXPERIMENT_NOT_REAL_HEAVY_VALIDATION,1.0,B,0.999999995919928,1.0199999957498873,2.0400359908273625e-07,BRACKETED_LINEAR_NO_EXTRAPOLATION,3000.000012240216,0.4760415712009122,0.02742654914878364,0.027426548876264084,0.0,2.7251956369848004e-10,0.0037559254110706517,0.0019999998764182974,9.936341689219266e-09
CONDITIONAL_MECHANISM_EXPERIMENT_NOT_REAL_HEAVY_VALIDATION,1.0,C,0.9999999984695563,1.0199999983117227,7.652218363844391e-08,BRACKETED_LINEAR_NO_EXTRAPOLATION,3000.000004591331,0.4857071308122832,0.027983418468122738,0.027983418201224505,0.0,2.6689815949776214e-10,0.003501183854579844,0.0017324521340974924,9.537725342663146e-09
CONDITIONAL_MECHANISM_EXPERIMENT_NOT_REAL_HEAVY_VALIDATION,2.0,A,1.9999999535584576,2.019999953536548,2.3220771220203288e-06,BRACKETED_LINEAR_NO_EXTRAPOLATION,6000.0001393246275,0.48370786162059715,0.027868233034613013,0.027868233034613013,0.0,0.0,0.0024610322678238774,0.002,0.0
CONDITIONAL_MECHANISM_EXPERIMENT_NOT_REAL_HEAVY_VALIDATION,2.0,B,1.999999992459148,2.019999992437329,3.770425975552181e-07,BRACKETED_LINEAR_NO_EXTRAPOLATION,6000.000022622556,0.5564686281760699,0.03206025503597436,0.032060254316843326,0.0,7.191309892538597e-10,0.0025073425942712265,0.0019999997251624177,2.243060725645922e-08
CONDITIONAL_MECHANISM_EXPERIMENT_NOT_REAL_HEAVY_VALIDATION,2.0,C,1.9999999955212946,2.019999995502843,2.2393527053364344e-07,BRACKETED_LINEAR_NO_EXTRAPOLATION,6000.000013436116,0.5698860931602712,0.03283328576501959,0.03283328505367257,0.0,7.113469513137301e-10,0.0023476047727828343,0.0017324503801656498,2.166542076856637e-08
