solve_id,newton_iteration,residual,residual_ratio,ksp_iterations,ksp_total,newton_wall_time,ksp_reason
1,0,0.00515535324567285,1,0,0,0,-
1,1,0.0009828597015242543,0.1906483716415007,1,1,0.002514641000288975,CONVERGED_ATOL
1,2,0.0001875740023520619,0.1908451451017529,1,2,0.002343264999581152,CONVERGED_ATOL
1,3,1.774370549994599e-05,0.09459576101938921,1,3,0.002168014000289986,CONVERGED_ATOL
1,4,2.20954196407139e-06,0.124525396573907,1,4,0.002182095000080153,CONVERGED_ATOL
1,5,5.628725729086272e-09,0.002547462696166475,1,5,0.00264497099988148,CONVERGED_ATOL
