input_index,phase_presence_mask,K_gas_over_oil_0_H2O,K_gas_over_oil_1_Heavy_squalane,K_water_over_oil_0_H2O,K_water_over_oil_1_Heavy_squalane,z_0_H2O,z_1_Heavy_squalane,beta_oil,beta_gas,beta_water,Z_oil,Z_gas,Z_water,phase_hysteresis_suppression_mask
0,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
1,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
2,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
3,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
4,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
5,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
6,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
7,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
8,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
9,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
10,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
