component,source_components,ppt_mole_fraction,ppt_hydrocarbon_normalized_fraction,Tc_K,Pc_MPa,omega,M_kg_mol,Vc_m3_mol,Vc_basis
H2O,H2O,0.750000,,647.30,22.048,0.344,0.018015,5.594803743e-5,production_H2O_reference
CO2,CO2,0.105055,,304.20,7.376,0.225,0.044010,9.411848339e-5,production_CO2_reference
L,C1+C2-3+C4-6,0.060525,0.41757218255200246,354.1916431226766,4.065799256505576,0.1498936802973978,0.04606110037174722,1.95564637471291e-4,Zc_0.27_estimate
M,C7-15,0.049560,0.34192279830280453,605.78,2.175,0.618,0.140960,6.252498825299838e-4,Zc_0.27_estimate
H,C16-27,0.024165,0.16671841043154300,751.00,1.654,0.957,0.280990,1.0193008374141067e-3,Zc_0.27_estimate
XH,C28+,0.010695,0.07378660871365000,942.50,1.642,1.268,0.519620,1.2885644791440596e-3,Zc_0.27_estimate

