case,step,time_day,pvi,component,mass_rate_kg_s,total_mass_fraction
lmh,6,0.6,0.15,Middle_nC10,4.583317603222186e-07,0.10210674660375829
lmh,6,0.6,0.15,Heavy_squalane,3.323280082153827e-06,0.7403574149067063
lmh,7,0.7,0.175,H2O,6.32243053297277e-07,0.14082994660136597
lmh,7,0.7,0.175,Light_nC4,7.477378383121975e-08,0.016655600926280854
lmh,7,0.7,0.175,Middle_nC10,4.584260462738222e-07,0.10211281133216647
lmh,7,0.7,0.175,Heavy_squalane,3.323964863707801e-06,0.7404016411401867
lmh,8,0.8,0.2,H2O,6.321004924118581e-07,0.14077669301638612
lmh,8,0.8,0.2,Light_nC4,7.478887751457429e-08,0.01665641931512568
lmh,8,0.8,0.2,Middle_nC10,4.585244472708649e-07,0.10211913474020849
lmh,8,0.8,0.2,Heavy_squalane,3.324679527574503e-06,0.7404477529282797
lmh,9,0.9,0.225,H2O,6.31954280219909e-07,0.14072205715979413
lmh,9,0.9,0.225,Light_nC4,7.480437948329535e-08,0.016657259069102495
lmh,9,0.9,0.225,Middle_nC10,4.586255024918183e-07,0.1021256223696034
lmh,9,0.9,0.225,Heavy_squalane,3.325413463811155e-06,0.7404950614015
lmh,10,1.0,0.25,H2O,6.318055909032666e-07,0.1406664764194078
lmh,10,1.0,0.25,Light_nC4,7.482016630478203e-08,0.01665811336705817
lmh,10,1.0,0.25,Middle_nC10,4.587284099154016e-07,0.10213222229329225
lmh,10,1.0,0.25,Heavy_squalane,3.32616084758048e-06,0.7405431879202417
lmh,11,1.1,0.275,H2O,6.316550444522237e-07,0.14061018183179846
lmh,11,1.1,0.275,Light_nC4,7.483617195077253e-08,0.016658978406036883
lmh,11,1.1,0.275,Middle_nC10,4.588327463902893e-07,0.10213890709330331
lmh,11,1.1,0.275,Heavy_squalane,3.326918606154003e-06,0.7405919326688614
lmh,12,1.2,0.3,H2O,6.315029553526259e-07,0.14055328982982612
lmh,12,1.2,0.3,Light_nC4,7.485236172465201e-08,0.016659851870459267
lmh,12,1.2,0.3,Middle_nC10,4.589383011040599e-07,0.10214566298120924
lmh,12,1.2,0.3,Heavy_squalane,3.327685209402232e-06,0.7406411953185055
lmh,13,1.3,0.325,H2O,6.313494714850643e-07,0.14049585561118977
lmh,13,1.3,0.325,Light_nC4,7.486871612223807e-08,0.016660731979964847
lmh,13,1.3,0.325,Middle_nC10,4.590449745669835e-07,0.10215248349555466
lmh,13,1.3,0.325,Heavy_squalane,3.328459935482558e-06,0.7406909289132908
lmh,14,1.4,0.35,H2O,6.311946599812232e-07,0.14043790333636544
lmh,14,1.4,0.35,Light_nC4,7.488522281488313e-08,0.016661617009420832
lmh,14,1.4,0.35,Middle_nC10,4.591527269742409e-07,0.10215936600185317
lmh,14,1.4,0.35,Heavy_squalane,3.32924249264867e-06,0.7407411136523605
lmh,15,1.5,0.375,H2O,6.310385497069969e-07,0.14037944325902563
lmh,15,1.5,0.375,Light_nC4,7.49018733183905e-08,0.016662505452917083
lmh,15,1.5,0.375,Middle_nC10,4.592615451315005e-07,0.10216630988039473
lmh,15,1.5,0.375,Heavy_squalane,3.330032768902269e-06,0.7407917414076626
lmh,16,1.6,0.4,H2O,6.308812169339328e-07,0.14032049501522412
lmh,16,1.6,0.4,Light_nC4,7.49186664107695e-08,0.016663397283771923
lmh,16,1.6,0.4,Middle_nC10,4.593714189098268e-07,0.10217331435312503
lmh,16,1.6,0.4,Heavy_squalane,3.330830631500658e-06,0.7408427933478788
lmh,17,1.7,0.425,H2O,6.307415369643266e-07,0.1402652902672982
lmh,17,1.7,0.425,Light_nC4,7.493532393150481e-08,0.016664234629470753
lmh,17,1.7,0.425,Middle_nC10,4.594799993322424e-07,0.10217988145911511
lmh,17,1.7,0.425,Heavy_squalane,3.331618755195718e-06,0.7408905936441159
lmh,18,1.8,0.45,H2O,6.360143611549856e-07,0.14142197942588466
lmh,18,1.8,0.45,Light_nC4,7.486486806964312e-08,0.01664669617308632
lmh,18,1.8,0.45,Middle_nC10,4.589145965515116e-07,0.10204268110218173
lmh,18,1.8,0.45,Heavy_squalane,3.327487033514215e-06,0.7398886432988472
lmh,19,1.9,0.475,H2O,8.402350513786737e-07,0.18723196567394143
lmh,19,1.9,0.475,Light_nC4,7.158339126533958e-08,0.015951130620205593
lmh,19,1.9,0.475,Middle_nC10,4.335428684320486e-07,0.0966075901347618
lmh,19,1.9,0.475,Heavy_squalane,3.142307492454616e-06,0.7002093135710912
lmh,20,2.0,0.5,H2O,1.464955812796658e-06,0.3287103869134849
lmh,20,2.0,0.5,Light_nC4,6.151346955371491e-08,0.013802543531187816
lmh,20,2.0,0.5,Middle_nC10,3.557395455069211e-07,0.0798217138172743
lmh,20,2.0,0.5,Heavy_squalane,2.574467538692169e-06,0.577665355738053
lmh,21,2.1,0.525,H2O,2.053710317438228e-06,0.46384934790021015
lmh,21,2.1,0.525,Light_nC4,5.202280115296205e-08,0.011749827707368255
lmh,21,2.1,0.525,Middle_nC10,2.824226660499467e-07,0.06378775446914844
lmh,21,2.1,0.525,Heavy_squalane,2.03938157578661e-06,0.4606130699232731
lmh,22,2.2,0.55,H2O,2.450092805366321e-06,0.555803187287556
lmh,22,2.2,0.55,Light_nC4,4.563680216769015e-08,0.01035270176168752
lmh,22,2.2,0.55,Middle_nC10,2.330942504926882e-07,0.052877395941281484
lmh,22,2.2,0.55,Heavy_squalane,1.679378292312385e-06,0.38096671500947504
lmh,23,2.3,0.575,H2O,2.712899980423225e-06,0.6171748347897816
lmh,23,2.3,0.575,Light_nC4,4.140680724175519e-08,0.009419897380299238
lmh,23,2.3,0.575,Middle_nC10,2.004226541074078e-07,0.04559542162611238
lmh,23,2.3,0.575,Heavy_squalane,1.440945539608336e-06,0.3278098462038067
lmh,24,2.4,0.6,H2O,2.897232829432639e-06,0.6603906638781989
lmh,24,2.4,0.6,Light_nC4,3.844349728407694e-08,0.008762749902362163
lmh,24,2.4,0.6,Middle_nC10,1.775370776450408e-07,0.04046752037942478
lmh,24,2.4,0.6,Heavy_squalane,1.27393648721666e-06,0.29037906584001416
lmh,25,2.5,0.625,H2O,3.034485323686982e-06,0.6926422073686889
lmh,25,2.5,0.625,Light_nC4,3.624014218212128e-08,0.00827206244183797
lmh,25,2.5,0.625,Middle_nC10,1.605228902974192e-07,0.036640457016188045
lmh,25,2.5,0.625,Heavy_squalane,1.149780249085287e-06,0.262445273173285
lmh,26,2.6,0.65,H2O,3.141862468783815e-06,0.7179044884909758
lmh,26,2.6,0.65,Light_nC4,3.451902234996209e-08,0.007887474811381774
lmh,26,2.6,0.65,Middle_nC10,1.472347304366523e-07,0.03364261640744167
lmh,26,2.6,0.65,Heavy_squalane,1.052818971623531e-06,0.24056542029020075
lmh,27,2.7,0.675,H2O,3.229164580808712e-06,0.7384541791974196
lmh,27,2.7,0.675,Light_nC4,3.312193573676052e-08,0.007574414761415985
lmh,27,2.7,0.675,Middle_nC10,1.364505466930061e-07,0.031203883833628585
lmh,27,2.7,0.675,Heavy_squalane,9.741335518595256e-07,0.22276752220753585
lmh,28,2.8,0.7,H2O,3.302278138584622e-06,0.7556639968707831
lmh,28,2.8,0.7,Light_nC4,3.195385366060905e-08,0.007312036042775377
lmh,28,2.8,0.7,Middle_nC10,1.274363146733549e-07,0.029161394301518342
lmh,28,2.8,0.7,Heavy_squalane,9.083667248672469e-07,0.20786257278492323
lmh,29,2.9,0.725,H2O,3.364927272256443e-06,0.7704049029261659
lmh,29,2.9,0.725,Light_nC4,3.095464893633567e-08,0.007087111066421227
lmh,29,2.9,0.725,Middle_nC10,1.197276385683328e-07,0.027411813779547847
lmh,29,2.9,0.725,Heavy_squalane,8.521290923109546e-07,0.19509617222786496
lmh,30,3.0,0.75,H2O,3.419581194068429e-06,0.7832556872850195
lmh,30,3.0,0.75,Light_nC4,3.008444771730856e-08,0.006890848158331291
lmh,30,3.0,0.75,Middle_nC10,1.130166021658819e-07,0.02588647304459473
lmh,30,3.0,0.75,Heavy_squalane,8.031733120056462e-07,0.18396699151205448
lmh,31,3.1,0.775,H2O,3.467945921813027e-06,0.7946169970449899
lmh,31,3.1,0.775,Light_nC4,2.931569153493381e-08,0.006717159753635358
lmh,31,3.1,0.775,Middle_nC10,1.070904575474002e-07,0.02453783874000012
lmh,31,3.1,0.775,Heavy_squalane,7.59946622323603e-07,0.17412800446137455
lmh,32,3.2,0.8,H2O,3.511243129927785e-06,0.8047762019737126
lmh,32,3.2,0.8,Light_nC4,2.862863434589477e-08,0.006561677093849445
lmh,32,3.2,0.8,Middle_nC10,1.017968515864168e-07,0.023331817410856173
lmh,32,3.2,0.8,Heavy_squalane,7.213370512017096e-07,0.16533030352158173
lmh,33,3.3,0.825,H2O,3.550375255965216e-06,0.8139458777112687
lmh,33,3.3,0.825,Light_nC4,2.800867689161953e-08,0.00642116549730256
lmh,33,3.3,0.825,Middle_nC10,9.702324493583879e-08,0.02224318968115026
lmh,33,3.3,0.825,Heavy_squalane,6.865232074910532e-07,0.1573897671102785
lmh,34,3.4,0.85,H2O,3.586027038752873e-06,0.8222875320242665
lmh,34,3.4,0.85,Light_nC4,2.744472482353601e-08,0.006293163659490677
lmh,34,3.4,0.85,Middle_nC10,9.268424433734204e-08,0.021252795282935742
lmh,34,3.4,0.85,Heavy_squalane,6.548818275073579e-07,0.15016650903330708
lmh,35,3.5,0.875,H2O,3.61873034091094e-06,0.8299267520748816
lmh,35,3.5,0.875,Light_nC4,2.69281418845101e-08,0.006175753158771512
lmh,35,3.5,0.875,Middle_nC10,8.87135302176011e-08,0.020345735952255785
lmh,35,3.5,0.875,Heavy_squalane,6.25928859158898e-07,0.1435517588140909
lmh,36,3.6,0.9,H2O,3.648906728480122e-06,0.8369631824836455
lmh,36,3.6,0.9,Light_nC4,2.645205955288183e-08,0.006067406375127766
lmh,36,3.6,0.9,Middle_nC10,8.505854382671226e-08,0.019510191637121633
lmh,36,3.6,0.9,Heavy_squalane,5.99280686937452e-07,0.13745921950410508
lmh,37,3.7,0.925,H2O,3.676896322704064e-06,0.8434772869453575
lmh,37,3.7,0.925,Light_nC4,2.601090875641614e-08,0.005966883159955485
lmh,37,3.7,0.925,Middle_nC10,8.16768917373597e-08,0.018736618333065436
lmh,37,3.7,0.925,Heavy_squalane,5.746278907022598e-07,0.1318192115616216
lmh,38,3.8,0.95,H2O,3.702977846199381e-06,0.849535048406101
lmh,38,3.8,0.95,Light_nC4,2.560009339738376e-08,0.005873158708164771
lmh,38,3.8,0.95,Middle_nC10,7.853384911449998e-08,0.018017190509924508
lmh,38,3.8,0.95,Heavy_squalane,5.517170237631753e-07,0.12657460237580978
lmh,39,3.9,0.975,H2O,3.727382867770892e-06,0.8551913119371141
lmh,39,3.9,0.975,Light_nC4,2.521575690716746e-08,0.00578537193412173
lmh,39,3.9,0.975,Middle_nC10,7.560058549830122e-08,0.01734540458790351
lmh,39,3.9,0.975,Heavy_squalane,5.303376642545892e-07,0.12167791154086084
lmh,40,4.0,1.0,H2O,3.75030615198489e-06,0.860492211660784
lmh,40,4.0,1.0,Light_nC4,2.485461147076787e-08,0.005702787646584835
lmh,40,4.0,1.0,Middle_nC10,7.285287808745667e-08,0.016715791098321414
lmh,40,4.0,1.0,Heavy_squalane,5.10313024478244e-07,0.11708920959430975
