case,step,time_day,pvi,hydrocarbon_viscosity_mPa_s,water_viscosity_mPa_s,oil_saturation,gas_saturation,water_saturation
binary,0,0.0,0.0,0.9360943002336827,0.06617166749228745,0.9826864977681545,0.0,0.01731350223184424
binary,1,0.1,0.025,0.9360966313074068,0.06617243953290916,0.9577957093143744,0.0,0.04220429068562466
binary,2,0.2,0.05,0.9360991638380453,0.06617260257178524,0.9329048926308775,0.0,0.06709510736912186
binary,3,0.3,0.075,0.9361018957068405,0.06617265272072718,0.9080140498160897,0.0,0.09198595018390941
binary,4,0.4,0.1,0.9361048141996199,0.06617266440722204,0.8831231842196837,0.0,0.1168768157803153
binary,5,0.5,0.125,0.9361079067065556,0.06617265974956886,0.8582322989995962,0.0,0.141767701000403
binary,6,0.6,0.15,0.936111160274294,0.06617264761608581,0.8333413971846028,0.0,0.1666586028153962
binary,7,0.7,0.175,0.9361145614513108,0.0661726322294056,0.808450481843543,0.0,0.1915495181564562
binary,8,0.8,0.2,0.9361180961375934,0.06617261583638742,0.783559562128046,0.0,0.2164404378719532
binary,9,0.9,0.225,0.9361217493947025,0.06617259972821973,0.7586688731656832,0.0,0.241331126834316
binary,10,1.0,0.25,0.9361255044036532,0.0661725847285541,0.7337864977616979,0.0,0.2662135022383012
binary,11,1.1,0.275,0.9361293204593587,0.06617257230831786,0.7091288531290386,0.0,0.2908711468709602
binary,12,1.2,0.3,0.9361330119190597,0.0661725687208403,0.6862570749089131,0.0,0.3137429250910859
binary,13,1.3,0.325,0.9361363704534391,0.06617257797557957,0.6668520603910624,0.0,0.3331479396089367
binary,14,1.4,0.35,0.9361393994056512,0.06617259618936297,0.65062540820616,0.0,0.3493745917938393
binary,15,1.5,0.375,0.9361421748283575,0.0661726191735436,0.6367272739133996,0.0,0.3632727260865996
binary,16,1.6,0.4,0.9361447586252462,0.06617264450571167,0.6245073237221584,0.0,0.3754926762778404
binary,17,1.7,0.425,0.93614719220771,0.06617267091799138,0.6135411590579999,0.0,0.3864588409419994
binary,18,1.8,0.45,0.9361495033485421,0.06617269773893288,0.6035510904741729,0.0,0.3964489095258261
binary,19,1.9,0.475,0.9361517115007426,0.06617272460135748,0.5943481697606976,0.0,0.4056518302393016
binary,20,2.0,0.5,0.9361538309409485,0.0661727512991527,0.5857980866211553,0.0,0.4142019133788438
binary,21,2.1,0.525,0.9361558725823873,0.06617277771528307,0.5778015054247805,0.0,0.4221984945752183
binary,22,2.2,0.55,0.936157845049916,0.06617280378398299,0.5702824352818848,0.0,0.4297175647181147
binary,23,2.3,0.575,0.9361597553445756,0.06617282946998068,0.5631810882099171,0.0,0.4368189117900821
binary,24,2.4,0.6,0.9361616092723717,0.06617285475659972,0.5564493186710445,0.0,0.4435506813289546
binary,25,2.5,0.625,0.9361634117322816,0.06617287963869502,0.5500476020066726,0.0,0.4499523979933265
binary,26,2.6,0.65,0.9361651669167779,0.06617290411833142,0.5439429642396136,0.0,0.4560570357603854
binary,27,2.7,0.675,0.9361668784559634,0.0661729282020716,0.5381075206474484,0.0,0.4618924793525507
binary,28,2.8,0.7,0.9361685495240374,0.06617295189923939,0.5325174164506093,0.0,0.46748258354939
binary,29,2.9,0.725,0.9361701829198389,0.0661729752207917,0.52715204088264,0.0,0.4728479591173591
binary,30,3.0,0.75,0.9361717811291005,0.06617299817857542,0.5219934320170956,0.0,0.4780065679829039
binary,31,3.1,0.775,0.936173346373363,0.06617302078483742,0.5170258178411119,0.0,0.4829741821588874
binary,32,3.2,0.8,0.9361748806490617,0.06617304305189926,0.5122352566998679,0.0,0.4877647433001311
binary,33,3.3,0.825,0.9361763857591913,0.0661730649919436,0.5076093515888095,0.0,0.4923906484111897
binary,34,3.4,0.85,0.93617786333923,0.06617308661687539,0.5031370202571973,0.0,0.4968629797428016
binary,35,3.5,0.875,0.9361793148786192,0.0661731079382347,0.4988083081342687,0.0,0.5011916918657303
binary,36,3.6,0.9,0.9361807417387,0.0661731289671446,0.4946142345625101,0.0,0.5053857654374891
binary,37,3.7,0.925,0.9361821451678858,0.06617314971428312,0.4905466652574108,0.0,0.5094533347425884
binary,38,3.8,0.95,0.936183526314478,0.06617317018987147,0.486598205649504,0.0,0.5134017943504953
binary,39,3.9,0.975,0.936184886237663,0.06617319040367464,0.4827621110224791,0.0,0.5172378889775202
binary,40,4.0,1.0,0.9361862259170016,0.06617321036500792,0.4790322102858059,0.0,0.5209677897141931
lmh,0,0.0,0.0,0.3252784949434263,0.06445453229527075,0.9913065584156638,0.0,0.008693441584334457
lmh,1,0.1,0.025,0.32549101144638054,0.06457975733056487,0.9661231707086588,0.0,0.03387682929134053
lmh,2,0.2,0.05,0.32587446116951385,0.06467480607362741,0.9408516030066176,0.0,0.05914839699338188
lmh,3,0.3,0.075,0.32642909923109004,0.0647383201647848,0.9154819452170004,0.0,0.08451805478299863
lmh,4,0.4,0.1,0.32711386577693635,0.0647845941825656,0.8900433049737209,0.0,0.109956695026278
lmh,5,0.5,0.125,0.32787749716846565,0.06482317681364488,0.8645781764471749,0.0,0.1354218235528241
lmh,6,0.6,0.15,0.32870225051395424,0.06485682712665568,0.8391020132345878,0.0,0.1608979867654112
lmh,7,0.7,0.175,0.3295803406869038,0.06488690494104928,0.8136226085234074,0.0,0.186377391476592
lmh,8,0.8,0.2,0.33050884997530394,0.06491431029861328,0.788144442285359,0.0,0.2118555577146402
lmh,9,0.9,0.225,0.3314881748483313,0.06493967620172074,0.762669952401531,0.0,0.2373300475984682
lmh,10,1.0,0.25,0.33252097164237937,0.0649634660410641,0.737200400165218,0.0,0.262799599834781
lmh,11,1.1,0.275,0.3336115234326692,0.06498602779681324,0.7117364070118458,0.0,0.2882635929881533
lmh,12,1.2,0.3,0.3347654147736373,0.06500762713512974,0.6862782671596788,0.0,0.3137217328403204
lmh,13,1.3,0.325,0.3359894197408643,0.06502846923039271,0.6608261207219239,0.0,0.3391738792780753
lmh,14,1.4,0.35,0.3372915391271912,0.0650487139541086,0.635380044967785,0.0,0.3646199550322144
lmh,15,1.5,0.375,0.33868115024100803,0.0650684868123248,0.6099400997257842,0.0,0.3900599002742151
lmh,16,1.6,0.4,0.3401692546106467,0.06508788698227407,0.5845063484954018,0.0,0.4154936515045975
lmh,17,1.7,0.425,0.34176882346369514,0.06510699342876022,0.5590789945919121,0.0,0.4409210054080868
lmh,18,1.8,0.45,0.3434942757807583,0.06512590722600908,0.5336950674544504,0.0,0.4663049325455485
lmh,19,1.9,0.475,0.34532123184526914,0.0651460147826705,0.5097118982343342,0.0,0.4902881017656648
lmh,20,2.0,0.5,0.3471490125017846,0.06516995851323679,0.489996398918381,0.0,0.5100036010816181
lmh,21,2.1,0.525,0.34894675233345496,0.06519727513847899,0.4742999396786962,0.0,0.5257000603213028
lmh,22,2.2,0.55,0.3507304919193325,0.06522666222513607,0.4613079775121596,0.0,0.5386920224878395
lmh,23,2.3,0.575,0.3525166012735904,0.06525728751459361,0.4501080581609691,0.0,0.5498919418390301
lmh,24,2.4,0.6,0.3543154830583823,0.06528869179452328,0.4401641094011766,0.0,0.5598358905988224
lmh,25,2.5,0.625,0.3561333590058684,0.06532061560551972,0.431154462399308,0.0,0.5688455376006911
lmh,26,2.6,0.65,0.3579739890201194,0.06535290400712764,0.4228749470348884,0.0,0.5771250529651106
lmh,27,2.7,0.675,0.35983969493875734,0.06538545906375952,0.4151883270614914,0.0,0.5848116729385078
lmh,28,2.8,0.7,0.36173193484821087,0.06541821557938174,0.4079975740821631,0.0,0.5920024259178359
lmh,29,2.9,0.725,0.3636516294683778,0.06545112810797148,0.4012311013690852,0.0,0.5987688986309138
lmh,30,3.0,0.75,0.36559935331724835,0.06548416365298394,0.3948341937624726,0.0,0.6051658062375264
lmh,31,3.1,0.775,0.3675754503201996,0.0655172973767879,0.3887637950614567,0.0,0.6112362049385424
lmh,32,3.2,0.8,0.3695801057461494,0.06555050997711953,0.3829851996847516,0.0,0.6170148003152471
lmh,33,3.3,0.825,0.3716133915936693,0.06558378602248101,0.3774698715072197,0.0,0.6225301284927794
lmh,34,3.4,0.85,0.37367529726274806,0.0656171128757859,0.3721939566930871,0.0,0.6278060433069117
lmh,35,3.5,0.875,0.3757657475383103,0.06565047995167693,0.3671372384713287,0.0,0.63286276152867
lmh,36,3.6,0.9,0.3778846150362008,0.06568387821415146,0.3622823832391717,0.0,0.6377176167608275
lmh,37,3.7,0.925,0.3800317275551545,0.06571729981313128,0.3576143836453393,0.0,0.6423856163546597
lmh,38,3.8,0.95,0.3822068719365285,0.0657507378157719,0.3531201385734837,0.0,0.6468798614265155
lmh,39,3.9,0.975,0.3844097953178011,0.06578418599941474,0.3487881304437612,0.0,0.6512118695562378
lmh,40,4.0,1.0,0.3866402043265254,0.06581763868455745,0.3446081731473253,0.0,0.655391826852674
