experiment_id,role,pressure_MPa,water_rate_reported_mL_min,co2_rate_reported_mL_min,reservoir_total_rate_m3_s,recovery_4PV_fraction,recovery_4PV_percent,max_delta_p_MPa,final_delta_p_MPa,max_relative_mass_closure,breakthrough_pvi_1pct,max_outlet_inlet_co2_mass_ratio
R04,physical_reproduction,23.0,10,0,1.6666666666666665e-07,0.8723130682969714,87.23130682969715,0.008086550898281076,0.007457636031810466,7.018606986348374e-10,not_reached,0.0
R06,physical_reproduction,24.0,10,0,1.6666666666666665e-07,0.8720793514119712,87.20793514119713,0.008116238588289092,0.0074728117618604985,6.826390387661783e-10,not_reached,0.0
R10,physical_reproduction,23.0,10,2,1.9999999999999999e-07,0.8723253838274795,87.23253838274795,0.009705252465809621,0.008950356091341405,7.478346889615314e-11,not_reached,5.728793551672385e-06
R12,physical_reproduction,24.0,10,2,1.9999999999999999e-07,0.8720923633269976,87.20923633269976,0.00974099030401021,0.008968594303098598,8.363331019725896e-11,not_reached,5.975017526967309e-06
C23,rate_matched_control,23.0,12,0,1.9999999999999999e-07,0.8723139164240626,87.23139164240627,0.009704541141479695,0.00894982165692113,1.9077093324786754e-12,not_reached,0.0
C24,rate_matched_control,24.0,12,0,1.9999999999999999e-07,0.8720803500551492,87.20803500551492,0.009740243758250245,0.008968082401099763,4.0749256549833264e-10,not_reached,0.0
